axis_rc,barrier_half_len_cells,barrier_half_width_cells,center_rc,detour_rc,duration,episode_id,event_step,event_type,goal_rc,hard_radius_cells,low_risk_value,open_delay,radius_cells,regime,risk_value,scene_id
"[0.0, 1.0]",9.0,2.0,"[48.0, 40.0]","[56.0, 17.0]",80,5,31,mud_onset,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 40.0]","[56.0, 17.0]",80,5,31,corridor_closes,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 40.0]","[56.0, 17.0]",80,5,31,corridor_opens,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[65.0, 40.0]","[63.0, 21.0]",80,6,30,mud_onset,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[65.0, 40.0]","[63.0, 21.0]",80,6,30,corridor_closes,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[65.0, 40.0]","[63.0, 21.0]",80,6,30,corridor_opens,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 42.0]","[73.0, 24.0]",80,7,24,mud_onset,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 42.0]","[73.0, 24.0]",80,7,24,corridor_closes,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 42.0]","[73.0, 24.0]",80,7,24,corridor_opens,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[53.0, 43.0]","[41.0, 43.0]",80,8,24,mud_onset,"[50.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[53.0, 43.0]","[41.0, 43.0]",80,8,24,corridor_closes,"[50.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[53.0, 43.0]","[41.0, 43.0]",80,8,24,corridor_opens,"[50.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 38.0]","[51.0, 48.0]",80,9,22,mud_onset,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 38.0]","[51.0, 48.0]",80,9,22,corridor_closes,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 38.0]","[51.0, 48.0]",80,9,22,corridor_opens,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 40.0]","[51.0, 49.0]",80,10,26,mud_onset,"[66.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 40.0]","[51.0, 49.0]",80,10,26,corridor_closes,"[66.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[54.0, 40.0]","[51.0, 49.0]",80,10,26,corridor_opens,"[66.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[50.0, 40.0]","[34.0, 51.0]",80,11,30,mud_onset,"[34.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[50.0, 40.0]","[34.0, 51.0]",80,11,30,corridor_closes,"[34.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[50.0, 40.0]","[34.0, 51.0]",80,11,30,corridor_opens,"[34.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[51.0, 43.0]","[52.0, 83.0]",80,12,29,mud_onset,"[58.0, 90.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[51.0, 43.0]","[52.0, 83.0]",80,12,29,corridor_closes,"[58.0, 90.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[51.0, 43.0]","[52.0, 83.0]",80,12,29,corridor_opens,"[58.0, 90.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[48.0, 44.0]","[41.0, 53.0]",80,13,28,mud_onset,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[48.0, 44.0]","[41.0, 53.0]",80,13,28,corridor_closes,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.0, 1.0]",9.0,2.0,"[48.0, 44.0]","[41.0, 53.0]",80,13,28,corridor_opens,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[42.0, 39.0]","[33.0, 52.0]",80,14,21,mud_onset,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[42.0, 39.0]","[33.0, 52.0]",80,14,21,corridor_closes,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[42.0, 39.0]","[33.0, 52.0]",80,14,21,corridor_opens,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001492
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 41.0]","[51.0, 48.0]",80,15,25,mud_onset,"[66.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 41.0]","[51.0, 48.0]",80,15,25,corridor_closes,"[66.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 41.0]","[51.0, 48.0]",80,15,25,corridor_opens,"[66.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001492
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[53.0, 45.0]","[56.0, 41.0]",80,16,27,mud_onset,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[53.0, 45.0]","[56.0, 41.0]",80,16,27,corridor_closes,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[53.0, 45.0]","[56.0, 41.0]",80,16,27,corridor_opens,"[74.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[54.0, 39.0]",80,17,22,mud_onset,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[54.0, 39.0]",80,17,22,corridor_closes,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[54.0, 39.0]",80,17,22,corridor_opens,"[66.0, 74.0]",4.0,0.18,10,8.0,R2,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,18,28,mud_onset,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,18,28,corridor_closes,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,18,28,corridor_opens,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[52.0, 50.0]","[56.0, 48.0]",80,19,32,mud_onset,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[52.0, 50.0]","[56.0, 48.0]",80,19,32,corridor_closes,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[52.0, 50.0]","[56.0, 48.0]",80,19,32,corridor_opens,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 45.0]","[56.0, 41.0]",80,20,27,mud_onset,"[42.0, 83.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 45.0]","[56.0, 41.0]",80,20,27,corridor_closes,"[42.0, 83.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 45.0]","[56.0, 41.0]",80,20,27,corridor_opens,"[42.0, 83.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,21,28,mud_onset,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,21,28,corridor_closes,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[54.0, 46.0]","[54.0, 39.0]",80,21,28,corridor_opens,"[60.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[50.0, 39.0]","[56.0, 48.0]",80,22,33,mud_onset,"[26.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[50.0, 39.0]","[56.0, 48.0]",80,22,33,corridor_closes,"[26.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[50.0, 39.0]","[56.0, 48.0]",80,22,33,corridor_opens,"[26.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[56.0, 48.0]",80,23,26,mud_onset,"[34.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[56.0, 48.0]",80,23,26,corridor_closes,"[34.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[49.0, 40.0]","[56.0, 48.0]",80,23,26,corridor_opens,"[34.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002145
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[46.0, 29.0]",80,24,27,mud_onset,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[46.0, 29.0]",80,24,27,corridor_closes,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[46.0, 29.0]",80,24,27,corridor_opens,"[74.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[46.0, 42.0]","[34.0, 42.0]",80,25,25,mud_onset,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[46.0, 42.0]","[34.0, 42.0]",80,25,25,corridor_closes,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[46.0, 42.0]","[34.0, 42.0]",80,25,25,corridor_opens,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 40.0]","[46.0, 35.0]",80,26,21,mud_onset,"[66.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 40.0]","[46.0, 35.0]",80,26,21,corridor_closes,"[66.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 40.0]","[46.0, 35.0]",80,26,21,corridor_opens,"[66.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[64.0, 40.0]","[46.0, 35.0]",80,27,26,mud_onset,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[64.0, 40.0]","[46.0, 35.0]",80,27,26,corridor_closes,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[64.0, 40.0]","[46.0, 35.0]",80,27,26,corridor_opens,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 34.0]","[46.0, 29.0]",80,28,24,mud_onset,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 34.0]","[46.0, 29.0]",80,28,24,corridor_closes,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 34.0]","[46.0, 29.0]",80,28,24,corridor_opens,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[59.0, 45.0]","[46.0, 35.0]",80,29,27,mud_onset,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[59.0, 45.0]","[46.0, 35.0]",80,29,27,corridor_closes,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[59.0, 45.0]","[46.0, 35.0]",80,29,27,corridor_opens,"[42.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 37.0]","[46.0, 70.0]",80,30,27,mud_onset,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 37.0]","[46.0, 70.0]",80,30,27,corridor_closes,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[0.0, 1.0]",9.0,2.0,"[51.0, 37.0]","[46.0, 70.0]",80,30,27,corridor_opens,"[58.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 43.0]","[57.0, 15.0]",80,31,29,mud_onset,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 43.0]","[57.0, 15.0]",80,31,29,corridor_closes,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[49.0, 43.0]","[57.0, 15.0]",80,31,29,corridor_opens,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_000983
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,32,44,mud_onset,"[26.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,32,44,corridor_closes,"[26.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,32,44,corridor_opens,"[26.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 51.0]",80,33,33,mud_onset,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 51.0]",80,33,33,corridor_closes,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 51.0]",80,33,33,corridor_opens,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[68.0, 22.0]","[70.0, 48.0]",80,34,42,mud_onset,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[68.0, 22.0]","[70.0, 48.0]",80,34,42,corridor_closes,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[68.0, 22.0]","[70.0, 48.0]",80,34,42,corridor_opens,"[42.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[69.0, 22.0]","[39.0, 15.0]",80,35,43,mud_onset,"[34.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[69.0, 22.0]","[39.0, 15.0]",80,35,43,corridor_closes,"[34.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[69.0, 22.0]","[39.0, 15.0]",80,35,43,corridor_opens,"[34.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,36,36,mud_onset,"[50.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,36,36,corridor_closes,"[50.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[1.0, 0.0]",9.0,2.0,"[70.0, 22.0]","[70.0, 34.0]",80,36,36,corridor_opens,"[50.0, 74.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 29.0]",80,37,33,mud_onset,"[58.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 29.0]",80,37,33,corridor_closes,"[58.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 29.0]","[67.0, 29.0]",80,37,33,corridor_opens,"[58.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 26.0]","[67.0, 51.0]",80,38,30,mud_onset,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 26.0]","[67.0, 51.0]",80,38,30,corridor_closes,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[79.0, 26.0]","[67.0, 51.0]",80,38,30,corridor_opens,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_002723
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[79.0, 34.0]","[58.0, 74.0]",80,39,30,mud_onset,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[79.0, 34.0]","[58.0, 74.0]",80,39,30,corridor_closes,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[79.0, 34.0]","[58.0, 74.0]",80,39,30,corridor_opens,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_002723
"[0.0, 1.0]",9.0,2.0,"[61.0, 37.0]","[56.0, 40.0]",80,40,23,mud_onset,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[61.0, 37.0]","[56.0, 40.0]",80,40,23,corridor_closes,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[61.0, 37.0]","[56.0, 40.0]",80,40,23,corridor_opens,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[61.0, 39.0]","[55.0, 41.0]",80,41,21,mud_onset,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[61.0, 39.0]","[55.0, 41.0]",80,41,21,corridor_closes,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[61.0, 39.0]","[55.0, 41.0]",80,41,21,corridor_opens,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[60.0, 39.0]","[55.0, 41.0]",80,42,21,mud_onset,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[60.0, 39.0]","[55.0, 41.0]",80,42,21,corridor_closes,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[60.0, 39.0]","[55.0, 41.0]",80,42,21,corridor_opens,"[58.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[47.0, 47.0]",80,43,27,mud_onset,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[47.0, 47.0]",80,43,27,corridor_closes,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[0.0, 1.0]",9.0,2.0,"[52.0, 37.0]","[47.0, 47.0]",80,43,27,corridor_opens,"[50.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[52.0, 45.0]","[49.0, 37.0]",80,44,27,mud_onset,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[52.0, 45.0]","[49.0, 37.0]",80,44,27,corridor_closes,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[52.0, 45.0]","[49.0, 37.0]",80,44,27,corridor_opens,"[26.0, 90.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[64.0, 36.0]","[56.0, 30.0]",80,45,26,mud_onset,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[64.0, 36.0]","[56.0, 30.0]",80,45,26,corridor_closes,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[64.0, 36.0]","[56.0, 30.0]",80,45,26,corridor_opens,"[26.0, 74.0]",4.0,0.18,10,8.0,R1,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[48.0, 42.0]","[39.51471710205078, 33.51471710205078]",80,46,24,mud_onset,"[42.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[48.0, 42.0]","[39.51471710205078, 33.51471710205078]",80,46,24,corridor_closes,"[42.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001214
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[48.0, 42.0]","[39.51471710205078, 33.51471710205078]",80,46,24,corridor_opens,"[42.0, 82.0]",4.0,0.18,10,8.0,R2,0.95,00000_001214
